Date,Day,HighTemp ,LowTemp,Precipitation,BrooklynBridge,Total
10/1,Sunday,66.9,50.0,0.00,"2,297","15,975"
10/2,Monday,72.0,52.0,0.00,"3,387","23,784"
10/3,Tuesday,70.0,57.0,0.00,"3,386","25,280"
10/4,Wednesday,75.0,55.9,0.00,"3,412","25,477"
10/5,Thursday,82.0,64.9,0.00,"3,312","23,942"
10/6,Friday,81.0,69.1,0.00,"2,982","22,197"
10/7,Saturday,80.1,66.0,0.00,"2,750","18,218"
10/8,Sunday,77.0,72.0,0.22,"1,235","9,174"
10/9,Monday,75.9,72.0,0.26,898,"8,940"
10/10,Tuesday,80.1,66.0,0.00,"3,922","26,050"
10/11,Wednesday,75.0,64.9,0.06,"2,721","20,657"
10/12,Thursday,63.0,55.9,0.07,"2,411","18,140"
10/13,Friday,64.9,52.0,0.00,"2,839","20,554"
10/14,Saturday,71.1,62.1,0.08,"2,021","14,712"
10/15,Sunday,72.0,66.0,0.05,"2,169","15,190"
10/16,Monday,60.1,52.0,0.01,"2,751","19,939"
10/17,Tuesday,57.9,43.0,0.00,"2,869","20,885"
10/18,Wednesday,71.1,50.0,0.00,"3,264","23,023"
10/19,Thursday,70.0,55.9,0.00,"3,265","24,034"
10/20,Friday,73.0,57.9,0.00,"3,169","22,484"
10/21,Saturday,78.1,57.0,0.00,"2,538","18,479"
10/22,Sunday,75.9,57.0,0.00,"2,744","17,513"
10/23,Monday,73.9,64.0,0.00,"3,189","22,931"
10/24,Tuesday,73.0,66.9,0.20,954,"9,501"
10/25,Wednesday,64.9,57.9,0.00,"3,367","23,237"
10/26,Thursday,57.0,53.1,0.00,"2,565","18,751"
10/27,Friday,62.1,48.0,0.00,"3,150","20,391"
10/28,Saturday,68.0,55.9,0.00,"2,245","15,938"
10/29,Sunday,64.9,61.0,3.03,183,"2,835"
10/30,Monday,55.0,46.0,0.25,"1,428","10,865"
10/31,Tuesday,54.0,44.0,0.00,"2,727","19,101"
